aaien
aambeien
aanbod
aandacht
aangeven
aanhoren
aanjagen
aankomen
aanleg
aanmaken
aannemen
aanpak
aanraken
aanslag
aantal
aanval
aanwezig
aanzoek
aapje
aardig
aarzelen
abdij
abonnees
abortus
abrupt
absoluut
abstract
absurd
academie
accent
account
accu
aceton
achter
acteur
actie
actrice
actueel
adder
adel
adem
adequaat
aderen
adjunct
admiraal
adoptie
adres
advies
advocaat
afbinden
afblazen
afbreken
afdalen
afdeling
afdoen
afdruk
afdwalen
affaire
affectie
affiche
afgaan
afgeleid
afgifte
afgrond
afgunst
afhalen
afhouden
afkappen
afkeer
afkicken
afkomst
afleiden
aflopen
afmaken
afmeting
afnemen
afpakken
afpersen
afraden
afremmen
afrit
afronden
afrukken
afscheid
afslag
afspraak
afstand
aftappen
aftellen
aftocht
aftreden
afval
afvegen
afvoer
afvragen
afvuren
afwas
afwezig
afwijzen
afzetten
afzien
afzoeken
afzuigen
afzweven
agent
agressie
aids
airbag
airco
akelig
akkoord
akte
alarm
albino
album
alchemie
alcohol
aldoor
alert
alfa
algemeen
alhoewel
alias
alibi
alien
alinea
allang
alleen
alom
alpaca
alsmaar
alsnog
alsof
altaar
alter
althans
altijd
alvast
alvorens
alweer
amateur
amber
ambitie
ambt
amen
amethist
amigo
ammoniak
amnestie
amor
amper
ampul
amulet
amusant
anaal
analyse
ananas
anarchie
anatomie
andere
angel
angst
anker
annex
anomalie
anoniem
antenne
antiek
antwoord
anus
aorta
apart
apotheek
apparaat
appel
applaus
april
aquarium
arbeid
arbiter
archief
arena
argument
argwaan
armband
arme
armoede
armzalig
arrest
arrogant
arsenaal
artefact
artikel
artritis
arts
asbak
asbest
asfalt
asiel
asociaal
aspect
aspirine
assen
astma
atelier
atlas
atleet
atoombom
attent
auditie
augustus
aula
aura
auteur
auto
avatar
avocado
avond
azen
azijn
baai
baal
baan
baard
baas
baat
babbelen
babe
baby
back
bacon
bacterie
baden
badge
badhuis
badjas
badkamer
badpak
bagage
bagel
bajes
bajonet
bakboord
baken
bakken
baksteen
bakte
balans
balen
balie
balkon
ballen
balzak
banaan
band
banen
bang
banjo
bank
bannen
barak
barbecue
baren
barman
baron
barst
barvrouw
baseball
basis
bassist
bastaard
bataljon
baten
batterij
bazaar
bazen
bazig
bazooka
beademen
beamen
beat
bebloed
bedankt
bedden
bedenken
bediende
bedoeld
bedrijf
bedtijd
bedwang
beek
beeld
been
beer
beest
beetje
beffen
begaan
begeleid
beginnen
