niet
zijn
maar
voor
mijn
weet
naar
hier
geen
hebben
heeft
moet
haar
goed
waar
over
doen
bent
gaan
hebt
iets
jullie
deze
gaat
meer
daar
denk
kunnen
laat
alles
echt
door
laten
zien
terug
nooit
iemand
nodig
onze
eens
toch
weten
toen
gewoon
mensen
tijd
veel
komen
leven
worden
komt
zeggen
omdat
maken
tegen
twee
gedaan
jouw
dood
weer
wilde
zeker
even
vader
kijk
altijd
zoals
dacht
huis
kunt
doet
spijt
jaar
wacht
vinden
heel
andere
keer
praten
waren
willen
vrouw
werd
moeder
wilt
dank
bedankt
iedereen
niemand
zullen
helpen
geef
werk
zich
beter
wist
binnen
gezien
staat
deed
klaar
geld
genoeg
elkaar
steeds
ging
dingen
sorry
kwam
achter
hele
krijgen
zitten
houden
neem
maakt
idee
naam
eerste
geven
bedoel
drie
zonder
blijf
zegt
lang
want
ooit
leuk
onder
enige
wanneer
gebeurd
meneer
graag
snel
ziet
paar
zorgen
vragen
hallo
lijkt
geweest
familie
hand
moest
geleden
hadden
luister
vriend
samen
vraag
auto
vast
nemen
beetje
niks
heen
nieuwe
manier
zelfs
grote
bang
kinderen
gevonden
zoon
vandaag
vermoord
wereld
eigen
beste
vertel
gelijk
alsof
mooi
stop
orde
jongen
thuis
probleem
mannen
meisje
zouden
buiten
geloof
elke
gezegd
begrijp
verdomme
halen
precies
hoop
agent
stad
horen
eten
plan
bijna
kans
kant
kleine
politie
vroeg
moment
plek
gemaakt
brengen
hoofd
vond
morgen
zoek
jezelf
hulp
volgende
pijn
hoor
rustig
zodat
dagen
broer
zaak
doden
dochter
gehoord
minuten
plaats
tussen
eerder
vanavond
veilig
open
eruit
voel
oude
vijf
hoeveel
gehad
soort
slecht
ergens
redden
vrij
prima
welke
soms
mevrouw
praat
vier
haal
ogen
liet
beginnen
reden
spreken
foto
school
kamer
telefoon
controle
bloed
sinds
baby
verhaal
klopt
bellen
mogelijk
moeilijk
hoeft
sterven
deur
zaken
zoveel
klinkt
kent
pakken
kreeg
wees
terwijl
zult
maanden
boven
lichaam
schuld
ligt
week
land
nacht
deel
druk
ervan
avond
juist
dokter
jaren
groot
eerlijk
gekomen
snap
wakker
lopen
team
moord
heet
zeer
papa
water
vergeten
bezig
gelukkig
erop
hart
fout
neer
eraan
spelen
vallen
tien
oorlog
beneden
schiet
john
gebruikt
schat
baas
wapen
bewijs
geval
lieverd
degene
ervoor
hield
rest
buurt
persoon
rond
mezelf
zoiets
zetten
klootzak
koning
stel
liefde
ontmoet
leren
baan
fijn
nummer
weken
ermee
liggen
mama
verloren
woord
stond
lekker
kennen
herinner
