aandacht
aantal
aanval
aapje
aardig
aarzelen
abortus
absoluut
absurd
academie
accent
account
accu
achter
acteur
actie
actrice
adel
adem
aderen
admiraal
adoptie
adres
advies
advocaat
afblazen
afbreken
afdeling
afdoen
afdruk
affaire
afgaan
afgeleid
afgrond
afhalen
afkomst
afleiden
aflopen
afmaken
afnemen
afpakken
afronden
afscheid
afspraak
afstand
afval
afvragen
afwas
afwezig
afwijzen
afzetten
agent
agressie
akkoord
alarm
album
alcohol
alert
algemeen
alhoewel
alias
alibi
alien
allang
alleen
alsmaar
alsnog
alsof
altaar
althans
altijd
alvast
alweer
amateur
ambitie
amper
analyse
andere
angst
anker
anoniem
antiek
antwoord
apart
apotheek
apparaat
appel
applaus
april
archief
arena
argument
armband
arme
armoede
arrest
arrogant
arsenaal
artefact
artikel
arts
asiel
aspect
aspirine
atleet
atoombom
attent
auditie
augustus
auteur
auto
avond
baan
baard
baas
baby
back
bacon
baden
badge
badkamer
bagage
baken
bakken
balans
balkon
ballen
band
bang
bank
barbecue
barman
barst
basis
bastaard
batterij
bazen
bedankt
bedenken
bedrijf
beeld
been
beetje
beginnen
begon
begrepen
behalve
behoefte
behulp
beiden
bekend
bekijken
bekwaam
bellen
beloofd
belt
bemoeien
bende
beneden
bent
bepaald
beperkt
bereiken
berg
bericht
besloten
besmet
beste
betalen
beter
betreden
beul
beurt
bevallen
bevel
bevriend
bewegen
bewijs
bewust
bezeten
bezig
bezorgd
bidden
bieden
biefstuk
bier
bijeen
bijna
bijten
bikini
billen
binden
binnen
biologie
bioscoop
bisschop
bitch
bizar
blanke
blauw
blazen
bleef
bleven
blijven
blik
blind
bloed
blok
bloot
blut
bocht
bodem
boek
boel
boeten
boksen
bomen
bommen
bond
bonus
boom
boos
boot
bord
borg
borst
bossen
boten
botsing
botten
bourbon
bouwen
boven
boze
bracht
brak
brand
brein
breken
brengen
brief
bril
broer
bron
brood
brug
bruiloft
brutaal
budget
buigen
buik
buiten
bunker
bureau
burgers
business
busje
bussen
butler
buurt
cabine
cadeau
cake
camera
campagne
capsule
captain
caravan
cash
casino
cent
chantage
chaos
charmant
checken
chef
cheque
chip
chique
chirurg
cijfer
circus
cirkel
citaat
claim
clan
clean
