niet
zijn
maar
voor
mijn
weet
naar
hier
geen
hebben
heeft
moet
haar
goed
waar
over
doen
bent
gaan
hebt
iets
jullie
waarom
deze
gaat
meer
daar
moeten
denk
kunnen
laat
alles
echt
door
alleen
laten
zien
terug
niets
nooit
iemand
nodig
onze
eens
toch
weten
toen
gewoon
mensen
tijd
veel
komen
leven
worden
komt
zeggen
omdat
maken
tegen
twee
gedaan
jouw
dood
weer
wilde
allemaal
zeker
even
vader
wordt
kijk
altijd
zoals
dacht
huis
kunt
doet
spijt
jaar
wacht
vinden
heel
andere
keer
praten
waren
willen
vrouw
werd
moeder
wilt
dank
bedankt
iedereen
niemand
anders
zullen
helpen
geef
werk
zich
beter
wist
binnen
gezien
staat
deed
klaar
geld
genoeg
elkaar
steeds
ging
dingen
sorry
kwam
achter
hele
alle
krijgen
zitten
houden
neem
vind
maakt
idee
naam
eerste
geven
bedoel
drie
zonder
blijf
zegt
maak
lang
goede
want
ooit
leuk
blijven
onder
enige
wanneer
gebeurd
meneer
graag
snel
ziet
paar
zorgen
vragen
hallo
lijkt
laatste
geweest
familie
hand
moest
geleden
hadden
luister
helemaal
vriend
samen
vraag
kijken
auto
vast
nemen
geweldig
beetje
niks
heen
nieuwe
manier
zelfs
grote
bang
kinderen
gevonden
zoon
denkt
vandaag
vermoord
wereld
eigen
denken
beste
vertel
gelijk
alsof
mooi
staan
stop
orde
jongen
thuis
probleem
mannen
jongens
meisje
zouden
buiten
geloof
elke
zelf
gezegd
begrijp
verdomme
halen
precies
gebeurt
kind
werken
hoop
agent
vrienden
stad
voordat
horen
eten
plan
eerst
bijna
kans
kant
kleine
politie
vroeg
betekent
werkt
moment
plek
houdt
gemaakt
brengen
daarom
hoofd
vond
morgen
zoek
verteld
wachten
probeer
geeft
jezelf
hulp
volgende
ding
pijn
hoor
blij
rustig
zodat
dagen
geloven
zoeken
broer
zaak
doden
dochter
gehoord
minuten
volgens
plaats
tussen
eerder
stoppen
vanavond
veilig
open
eruit
voel
verder
oude
vijf
proberen
hoeveel
gehad
soort
slecht
ergens
redden
vrij
handen
prima
welke
soms
krijgt
waarheid
mevrouw
gebeuren
praat
vier
haal
ogen
krijg
liet
beginnen
reden
spreken
foto
help
school
houd
kamer
telefoon
controle
bloed
sinds
baby
verhaal
klopt
vindt
hoorde
later
voorbij
bellen
mogelijk
moeilijk
hoeft
sterven
blijft
deur
zaken
zoveel
klinkt
kent
pakken
echte
kreeg
wees
breng
terwijl
zult
maanden
nieuws
boven
vertelde
lichaam
schuld
ligt
week
word
land
best
nacht
deel
druk
ervan
avond
voelt
juist
dokter
zorg
